receive,22,6,7,1545145825.36,1545145830.46,5.09299707413,
receive,22,7,8,1545145830.43,1545145830.48,0.0404479503632,
sent,22,6,7,1545145825.39,1545145830.56,5.16768312454,
sent,22,7,8,1545145830.41,1545145834.27,3.86041283607,
receive,23,5,6,1545145895.46,1545145903.34,7.88588190079,
sent,22,5,6,1545145895.47,1545145903.41,7.94255113602,
receive,23,6,7,1545145903.28,1545145909.28,5.99689507484,
receive,23,7,8,1545145909.27,1545145909.3,0.0286428928375,
sent,23,6,7,1545145903.31,1545145909.39,6.07771921158,
sent,23,7,8,1545145909.28,1545145912.66,3.38250494003,
receive,24,5,6,1545145973.75,1545145977.82,4.07215881348,
